&Reac_Pressure,Coolant_OutletTemp,T10,ColumnPC_OP,CondDuty_OutletTemp
29.5156,51.9314,182.256,47.6283,62.0747
29.5156,51.9318,182.256,47.6271,62.0761
29.5156,51.9321,182.256,47.6276,62.0769
29.5155,51.9325,182.256,47.6273,62.0773
29.5155,51.9328,182.256,47.6249,62.078
29.5154,51.9331,182.256,47.6226,62.0793
29.5154,51.9334,182.256,47.6222,62.0804
29.5154,51.9337,182.256,47.6234,62.0807
29.5153,51.934,182.256,47.622,62.081
29.5153,51.9343,182.256,47.6191,62.082
29.5152,51.9345,182.256,47.6181,62.0833
29.5152,51.9348,182.256,47.6195,62.0839
29.5151,51.935,182.256,47.6196,62.084
29.5151,51.9352,182.256,47.6174,62.0844
29.515,51.9354,182.256,47.6153,62.0855
29.515,51.9356,182.256,47.6154,62.0865
29.5149,51.9358,182.256,47.6166,62.0868
29.5149,51.936,182.256,47.6161,62.0868
29.5148,51.9362,182.256,47.614,62.0874
29.5148,51.9364,182.256,47.6126,62.0885
29.5148,51.9365,182.256,47.6131,62.0892
29.5147,51.9367,182.256,47.6142,62.0893
29.5147,51.9369,182.256,47.6134,62.0894
29.5146,51.937,182.256,47.6116,62.0901
29.5146,51.9372,182.256,47.6108,62.091
29.5145,51.9373,182.256,47.612,62.0914
29.5145,51.9374,182.256,47.6122,62.0914
29.5145,51.9375,182.256,47.6109,62.0917
29.5144,51.9377,182.256,47.6094,62.0925
29.5144,51.9378,182.256,47.6099,62.0932
29.5143,51.9379,182.256,47.6111,62.0933
29.5143,51.938,182.256,47.6108,62.0932
29.5143,51.9381,182.256,47.6091,62.0937
29.5142,51.9382,182.255,47.6084,62.0945
29.5142,51.9383,182.256,47.6093,62.0949
29.5142,51.9384,182.256,47.6103,62.0949
29.5141,51.9385,182.256,47.6093,62.0949
29.5141,51.9386,182.255,47.6078,62.0956
29.5141,51.9386,182.255,47.6075,62.0963
29.5141,51.9387,182.256,47.609,62.0965
29.514,51.9388,182.256,47.6096,62.0963
29.514,51.9389,182.255,47.6084,62.0965
29.514,51.9389,182.255,47.6074,62.097
29.5139,51.939,182.255,47.6077,62.0976
29.5139,51.9391,182.256,47.6084,62.0977
29.5139,51.9391,182.256,47.6086,62.0977
29.5139,51.9392,182.256,47.608,62.0979
29.5139,51.9393,182.255,47.6073,62.0983
29.5139,51.9393,182.255,47.6075,62.0987
29.5138,51.9394,182.256,47.6082,62.0988
29.5138,51.9394,182.256,47.6082,62.0988
29.5138,51.9395,182.255,47.6076,62.099
29.5138,51.9395,182.255,47.6071,62.0994
29.5138,51.9396,182.255,47.6074,62.0998
29.5138,51.9396,182.256,47.6081,62.0998
29.5138,51.9397,182.256,47.6079,62.0998
29.5137,51.9397,182.255,47.6073,62.1001
29.5137,51.9398,182.255,47.607,62.1004
29.5137,51.9398,182.255,47.6075,62.1006
29.5137,51.9398,182.256,47.6083,62.1005
29.5137,51.9399,182.255,47.6076,62.1006
29.5137,51.9399,182.256,47.6066,62.101
29.5137,51.9399,182.255,47.6069,62.1014
29.5137,51.94,182.256,47.6079,62.1014
29.5137,51.94,182.256,47.6081,62.1013
29.5137,51.94,182.256,47.607,62.1014
29.5137,51.9401,182.255,47.6063,62.1019
29.5137,51.9401,182.255,47.607,62.1022
29.5137,51.9401,182.256,47.6077,62.1021
29.5137,51.9402,182.256,47.6078,62.1019
29.5137,51.9402,182.256,47.6069,62.1021
29.5137,51.9402,182.256,47.6063,62.1025
29.5137,51.9402,182.256,47.6069,62.1028
29.5137,51.9403,182.256,47.608,62.1026
29.5137,51.9403,182.256,47.6071,62.1025
29.5137,51.9403,182.256,47.6061,62.1029
29.5137,51.9403,182.255,47.6064,62.1033
29.5137,51.9403,182.256,47.6076,62.1032
29.5137,51.9404,182.256,47.6077,62.103
29.5138,51.9404,182.256,47.6068,62.103
29.5138,51.9404,182.255,47.6059,62.1034
29.5138,51.9404,182.255,47.6062,62.1038
29.5138,51.9404,182.256,47.6072,62.1037
29.5138,51.9405,182.256,47.6074,62.1035
29.5138,51.9405,182.256,47.6064,62.1036
29.5138,51.9405,182.256,47.6056,62.104
29.5138,51.9405,182.256,47.6062,62.1042
29.5138,51.9405,182.256,47.6068,62.1042
29.5138,51.9405,182.256,47.607,62.104
29.5138,51.9405,182.256,47.6061,62.104
29.5138,51.9406,182.256,47.6054,62.1044
29.5139,51.9406,182.256,47.6059,62.1046
29.5139,51.9406,182.256,47.6064,62.1045
29.5139,51.9406,182.256,47.6064,62.1044
29.5139,51.9406,182.256,47.6058,62.1045
29.5139,51.9406,182.256,47.6052,62.1047
29.5139,51.9406,182.256,47.6055,62.1049
29.5139,51.9406,182.256,47.6062,62.1048
29.5139,51.9406,182.256,47.606,62.1047
29.5139,51.9406,182.256,47.605,62.1049
29.5139,51.9407,182.256,47.6048,62.1052
29.5139,51.9407,182.256,47.6054,62.1052
29.514,51.9407,182.256,47.6059,62.105
29.514,51.9407,182.256,47.6051,62.105
29.514,51.9407,182.256,47.6043,62.1053
29.514,51.9407,182.256,47.6044,62.1056
29.514,51.9407,182.256,47.6053,62.1056
29.514,51.9407,182.256,47.6057,62.1053
29.514,51.9407,182.256,47.6045,62.1053
29.514,51.9407,182.256,47.6034,62.1057
29.514,51.9407,182.256,47.6042,62.106
29.514,51.9407,182.256,47.6051,62.1058
29.514,51.9407,182.256,47.605,62.1055
29.514,51.9407,182.256,47.6039,62.1057
29.5141,51.9407,182.256,47.6033,62.1059
29.5141,51.9407,182.256,47.6039,62.1061
29.5141,51.9407,182.256,47.6052,62.1059
29.5141,51.9407,182.256,47.604,62.1057
29.5141,51.9407,182.256,47.6027,62.1061
29.5141,51.9407,182.256,47.6028,62.1065
29.5141,51.9407,182.256,47.6042,62.1063
29.5141,51.9407,182.256,47.6043,62.106
29.5141,51.9407,182.256,47.6027,62.1061
29.5141,51.9407,182.256,47.6022,62.1066
29.5141,51.9407,182.256,47.6035,62.1066
29.5141,51.9407,182.256,47.6043,62.1062
29.5141,51.9407,182.256,47.6031,62.1061
29.5141,51.9407,182.256,47.6014,62.1066
29.5141,51.9407,182.256,47.6019,62.107
29.5141,51.9407,182.256,47.6037,62.1068
29.5141,51.9407,182.256,47.6038,62.1063
29.5141,51.9407,182.256,47.602,62.1064
29.5141,51.9407,182.256,47.6009,62.107
29.5141,51.9407,182.256,47.6022,62.1073
29.5141,51.9407,182.256,47.6037,62.1068
29.5141,51.9407,182.256,47.6028,62.1065
29.5141,51.9407,182.256,47.601,62.1068
29.5141,51.9407,182.256,47.6007,62.1074
29.5141,51.9407,182.256,47.6025,62.1073
29.5141,51.9407,182.256,47.6032,62.1069
29.5141,51.9407,182.256,47.6019,62.1068
29.5141,51.9407,182.256,47.6004,62.1072
29.5142,51.9407,182.256,47.6007,62.1077
29.5142,51.9407,182.256,47.6022,62.1075
29.5142,51.9407,182.256,47.6026,62.1071
29.5142,51.9407,182.256,47.601,62.1071
29.5142,51.9407,182.256,47.6004,62.1076
29.5142,51.9407,182.256,47.6011,62.1077
29.5142,51.9407,182.256,47.6019,62.1075
29.5141,51.9407,182.256,47.6014,62.1073
29.5141,51.9407,182.256,47.6001,62.1076
29.5141,51.9407,182.256,47.6002,62.108
29.5141,51.9407,182.256,47.6014,62.1079
29.5141,51.9407,182.256,47.6016,62.1075
29.5141,51.9407,182.256,47.6009,62.1075
29.5141,51.9407,182.256,47.5998,62.1078
29.5141,51.9407,182.256,47.6004,62.1082
29.5141,51.9407,182.256,47.6011,62.108
29.5141,51.9407,182.256,47.601,62.1078
29.5141,51.9407,182.256,47.5997,62.1079
29.5141,51.9407,182.256,47.5994,62.1083
29.5141,51.9407,182.256,47.6006,62.1083
29.5141,51.9407,182.256,47.6012,62.108
29.5141,51.9407,182.256,47.6003,62.1079
29.5141,51.9407,182.256,47.5993,62.1082
29.5141,51.9407,182.256,47.5996,62.1085
29.5141,51.9407,182.256,47.6006,62.1084
29.5141,51.9407,182.256,47.6008,62.1081
29.5141,51.9407,182.256,47.5996,62.1082
29.5141,51.9407,182.256,47.599,62.1086
29.5141,51.9407,182.256,47.5999,62.1087
29.5141,51.9407,182.256,47.6008,62.1084
29.5141,51.9407,182.256,47.6001,62.1083
29.5141,51.9407,182.256,47.599,62.1085
29.5141,51.9407,182.256,47.599,62.1089
29.5141,51.9407,182.256,47.6001,62.1088
29.5141,51.9407,182.256,47.6004,62.1086
29.5141,51.9407,182.256,47.5998,62.1085
29.5141,51.9407,182.256,47.5988,62.1088
29.5141,51.9407,182.256,47.5985,62.1091
29.5141,51.9407,182.256,47.5996,62.1092
29.5141,51.9407,182.256,47.6005,62.1088
29.5141,51.9407,182.256,47.5997,62.1086
29.5141,51.9407,182.256,47.5986,62.1089
29.5141,51.9407,182.255,47.5985,62.1093
29.5141,51.9407,182.256,47.5995,62.1093
29.5141,51.9407,182.256,47.6003,62.109
29.5141,51.9407,182.256,47.5995,62.1088
29.5141,51.9407,182.256,47.5982,62.1091
29.5141,51.9407,182.255,47.5983,62.1095
29.5141,51.9407,182.256,47.5997,62.1094
29.5141,51.9407,182.256,47.6001,62.1091
29.5141,51.9407,182.256,47.5992,62.1091
29.5141,51.9407,182.256,47.5985,62.1093
29.5141,51.9407,182.256,47.5983,62.1096
29.5141,51.9407,182.256,47.5992,62.1096
